"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Vehicles per Household","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"Block Group","060014035012","CA","060014035012","=""060014035012""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014035013","CA","060014035013","=""060014035013""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014035014","CA","060014035014","=""060014035014""","0.9","2019-2023","2022","Census","California (State)"
"Block Group","060014035021","CA","060014035021","=""060014035021""","0.9","2019-2023","2022","Census","California (State)"
"Block Group","060014035022","CA","060014035022","=""060014035022""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014036001","CA","060014036001","=""060014036001""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014036002","CA","060014036002","=""060014036002""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014036003","CA","060014036003","=""060014036003""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014037011","CA","060014037011","=""060014037011""","0.9","2019-2023","2022","Census","California (State)"
"Block Group","060014037012","CA","060014037012","=""060014037012""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014037021","CA","060014037021","=""060014037021""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014037022","CA","060014037022","=""060014037022""","0.9","2019-2023","2022","Census","California (State)"
"Block Group","060014038001","CA","060014038001","=""060014038001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014038002","CA","060014038002","=""060014038002""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014038003","CA","060014038003","=""060014038003""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014038004","CA","060014038004","=""060014038004""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014039001","CA","060014039001","=""060014039001""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014039002","CA","060014039002","=""060014039002""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014039003","CA","060014039003","=""060014039003""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014040001","CA","060014040001","=""060014040001""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014040002","CA","060014040002","=""060014040002""","0.9","2019-2023","2022","Census","California (State)"
"Block Group","060014040003","CA","060014040003","=""060014040003""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014041011","CA","060014041011","=""060014041011""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014041012","CA","060014041012","=""060014041012""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014041013","CA","060014041013","=""060014041013""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014041021","CA","060014041021","=""060014041021""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014041022","CA","060014041022","=""060014041022""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014042001","CA","060014042001","=""060014042001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014042002","CA","060014042002","=""060014042002""","1.9","2019-2023","2022","Census","California (State)"
"Block Group","060014042003","CA","060014042003","=""060014042003""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014043001","CA","060014043001","=""060014043001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014043002","CA","060014043002","=""060014043002""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014043003","CA","060014043003","=""060014043003""","2.1","2019-2023","2022","Census","California (State)"
"Block Group","060014044001","CA","060014044001","=""060014044001""","2.2","2019-2023","2022","Census","California (State)"
"Block Group","060014044002","CA","060014044002","=""060014044002""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014044003","CA","060014044003","=""060014044003""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014044004","CA","060014044004","=""060014044004""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014045011","CA","060014045011","=""060014045011""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014045021","CA","060014045021","=""060014045021""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014045022","CA","060014045022","=""060014045022""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014045023","CA","060014045023","=""060014045023""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014045024","CA","060014045024","=""060014045024""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014046001","CA","060014046001","=""060014046001""","1.9","2019-2023","2022","Census","California (State)"
"Block Group","060014046002","CA","060014046002","=""060014046002""","2.2","2019-2023","2022","Census","California (State)"
"Block Group","060014046003","CA","060014046003","=""060014046003""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014046004","CA","060014046004","=""060014046004""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014047001","CA","060014047001","=""060014047001""","2.2","2019-2023","2022","Census","California (State)"
"Block Group","060014047002","CA","060014047002","=""060014047002""","2.1","2019-2023","2022","Census","California (State)"
"Block Group","060014048001","CA","060014048001","=""060014048001""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014048002","CA","060014048002","=""060014048002""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014049001","CA","060014049001","=""060014049001""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014049002","CA","060014049002","=""060014049002""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014049003","CA","060014049003","=""060014049003""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014049004","CA","060014049004","=""060014049004""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014050001","CA","060014050001","=""060014050001""","1.9","2019-2023","2022","Census","California (State)"
"Block Group","060014050002","CA","060014050002","=""060014050002""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014050003","CA","060014050003","=""060014050003""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014051001","CA","060014051001","=""060014051001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014051002","CA","060014051002","=""060014051002""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014051003","CA","060014051003","=""060014051003""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014051004","CA","060014051004","=""060014051004""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014051005","CA","060014051005","=""060014051005""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014052001","CA","060014052001","=""060014052001""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014052002","CA","060014052002","=""060014052002""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014052003","CA","060014052003","=""060014052003""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014052004","CA","060014052004","=""060014052004""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014053011","CA","060014053011","=""060014053011""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014053012","CA","060014053012","=""060014053012""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014053013","CA","060014053013","=""060014053013""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014053021","CA","060014053021","=""060014053021""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014053022","CA","060014053022","=""060014053022""","0.9","2019-2023","2022","Census","California (State)"
"Block Group","060014054011","CA","060014054011","=""060014054011""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014054012","CA","060014054012","=""060014054012""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014054013","CA","060014054013","=""060014054013""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014054021","CA","060014054021","=""060014054021""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014054022","CA","060014054022","=""060014054022""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014055001","CA","060014055001","=""060014055001""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014055002","CA","060014055002","=""060014055002""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014055003","CA","060014055003","=""060014055003""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014055004","CA","060014055004","=""060014055004""","1.1","2019-2023","2022","Census","California (State)"
"Block Group","060014056001","CA","060014056001","=""060014056001""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014056002","CA","060014056002","=""060014056002""","1.9","2019-2023","2022","Census","California (State)"
"Block Group","060014056003","CA","060014056003","=""060014056003""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014057001","CA","060014057001","=""060014057001""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014057002","CA","060014057002","=""060014057002""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014057003","CA","060014057003","=""060014057003""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014058001","CA","060014058001","=""060014058001""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014058002","CA","060014058002","=""060014058002""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014058003","CA","060014058003","=""060014058003""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014058004","CA","060014058004","=""060014058004""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014059011","CA","060014059011","=""060014059011""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014059012","CA","060014059012","=""060014059012""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014059013","CA","060014059013","=""060014059013""","1.9","2019-2023","2022","Census","California (State)"
"Block Group","060014059021","CA","060014059021","=""060014059021""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014059022","CA","060014059022","=""060014059022""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014060001","CA","060014060001","=""060014060001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014060002","CA","060014060002","=""060014060002""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014060003","CA","060014060003","=""060014060003""","0.7","2019-2023","2022","Census","California (State)"
"Block Group","060014060004","CA","060014060004","=""060014060004""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014061001","CA","060014061001","=""060014061001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014061002","CA","060014061002","=""060014061002""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014061003","CA","060014061003","=""060014061003""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014061004","CA","060014061004","=""060014061004""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014062011","CA","060014062011","=""060014062011""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014062012","CA","060014062012","=""060014062012""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014062013","CA","060014062013","=""060014062013""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014062014","CA","060014062014","=""060014062014""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014062021","CA","060014062021","=""060014062021""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014062022","CA","060014062022","=""060014062022""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014062023","CA","060014062023","=""060014062023""","1.9","2019-2023","2022","Census","California (State)"
"Block Group","060014063001","CA","060014063001","=""060014063001""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014063002","CA","060014063002","=""060014063002""","1.9","2019-2023","2022","Census","California (State)"
"Block Group","060014063003","CA","060014063003","=""060014063003""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014063004","CA","060014063004","=""060014063004""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014064001","CA","060014064001","=""060014064001""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014064002","CA","060014064002","=""060014064002""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014065001","CA","060014065001","=""060014065001""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014065002","CA","060014065002","=""060014065002""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014065003","CA","060014065003","=""060014065003""","1.9","2019-2023","2022","Census","California (State)"
"Block Group","060014065004","CA","060014065004","=""060014065004""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014066011","CA","060014066011","=""060014066011""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014066012","CA","060014066012","=""060014066012""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014066013","CA","060014066013","=""060014066013""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014066014","CA","060014066014","=""060014066014""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014066021","CA","060014066021","=""060014066021""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014066022","CA","060014066022","=""060014066022""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014067001","CA","060014067001","=""060014067001""","2.3","2019-2023","2022","Census","California (State)"
"Block Group","060014067002","CA","060014067002","=""060014067002""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014067003","CA","060014067003","=""060014067003""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014067004","CA","060014067004","=""060014067004""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014067005","CA","060014067005","=""060014067005""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014068001","CA","060014068001","=""060014068001""","2.5","2019-2023","2022","Census","California (State)"
"Block Group","060014068002","CA","060014068002","=""060014068002""","2.1","2019-2023","2022","Census","California (State)"
"Block Group","060014068003","CA","060014068003","=""060014068003""","2.1","2019-2023","2022","Census","California (State)"
"Block Group","060014068004","CA","060014068004","=""060014068004""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014069001","CA","060014069001","=""060014069001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014069002","CA","060014069002","=""060014069002""","2.1","2019-2023","2022","Census","California (State)"
"Block Group","060014069003","CA","060014069003","=""060014069003""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014070001","CA","060014070001","=""060014070001""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014070002","CA","060014070002","=""060014070002""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014070003","CA","060014070003","=""060014070003""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014070004","CA","060014070004","=""060014070004""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014070005","CA","060014070005","=""060014070005""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014071011","CA","060014071011","=""060014071011""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014071012","CA","060014071012","=""060014071012""","2.4","2019-2023","2022","Census","California (State)"
"Block Group","060014071021","CA","060014071021","=""060014071021""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014071022","CA","060014071022","=""060014071022""","2.3","2019-2023","2022","Census","California (State)"
"Block Group","060014071023","CA","060014071023","=""060014071023""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014071024","CA","060014071024","=""060014071024""","1.2","2019-2023","2022","Census","California (State)"
"Block Group","060014072001","CA","060014072001","=""060014072001""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014072002","CA","060014072002","=""060014072002""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014072003","CA","060014072003","=""060014072003""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014072004","CA","060014072004","=""060014072004""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014073001","CA","060014073001","=""060014073001""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014073002","CA","060014073002","=""060014073002""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014074001","CA","060014074001","=""060014074001""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014074002","CA","060014074002","=""060014074002""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014074003","CA","060014074003","=""060014074003""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014075001","CA","060014075001","=""060014075001""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014075002","CA","060014075002","=""060014075002""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014075003","CA","060014075003","=""060014075003""","0.8","2019-2023","2022","Census","California (State)"
"Block Group","060014076001","CA","060014076001","=""060014076001""","3.0","2019-2023","2022","Census","California (State)"
"Block Group","060014076002","CA","060014076002","=""060014076002""","1.0","2019-2023","2022","Census","California (State)"
"Block Group","060014076003","CA","060014076003","=""060014076003""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014076004","CA","060014076004","=""060014076004""","2.8","2019-2023","2022","Census","California (State)"
"Block Group","060014076005","CA","060014076005","=""060014076005""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014077001","CA","060014077001","=""060014077001""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014077002","CA","060014077002","=""060014077002""","2.2","2019-2023","2022","Census","California (State)"
"Block Group","060014077003","CA","060014077003","=""060014077003""","2.0","2019-2023","2022","Census","California (State)"
"Block Group","060014077004","CA","060014077004","=""060014077004""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014078001","CA","060014078001","=""060014078001""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014078002","CA","060014078002","=""060014078002""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014079001","CA","060014079001","=""060014079001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014079002","CA","060014079002","=""060014079002""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014079003","CA","060014079003","=""060014079003""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014080001","CA","060014080001","=""060014080001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014080002","CA","060014080002","=""060014080002""","1.9","2019-2023","2022","Census","California (State)"
"Block Group","060014081001","CA","060014081001","=""060014081001""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014081002","CA","060014081002","=""060014081002""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014081003","CA","060014081003","=""060014081003""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014081004","CA","060014081004","=""060014081004""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014081005","CA","060014081005","=""060014081005""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014082001","CA","060014082001","=""060014082001""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014082002","CA","060014082002","=""060014082002""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014082003","CA","060014082003","=""060014082003""","1.3","2019-2023","2022","Census","California (State)"
"Block Group","060014083001","CA","060014083001","=""060014083001""","1.5","2019-2023","2022","Census","California (State)"
"Block Group","060014083002","CA","060014083002","=""060014083002""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014083003","CA","060014083003","=""060014083003""","N/A","2019-2023","2022","Census","California (State)"
"Block Group","060014083004","CA","060014083004","=""060014083004""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014083005","CA","060014083005","=""060014083005""","1.7","2019-2023","2022","Census","California (State)"
"Block Group","060014084001","CA","060014084001","=""060014084001""","1.8","2019-2023","2022","Census","California (State)"
"Block Group","060014084002","CA","060014084002","=""060014084002""","1.6","2019-2023","2022","Census","California (State)"
"Block Group","060014084003","CA","060014084003","=""060014084003""","1.4","2019-2023","2022","Census","California (State)"
"Block Group","060014085001","CA","060014085001","=""060014085001""","2.0","2019-2023","2022","Census","California (State)"
