"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Pedestrian-oriented Road Density","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"Block Group","360010020002","NY","360010020002","=""360010020002""","12.18","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010020003","NY","360010020003","=""360010020003""","9.11","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010020004","NY","360010020004","=""360010020004""","22.23","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010020005","NY","360010020005","=""360010020005""","7.51","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010021001","NY","360010021001","=""360010021001""","10.73","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010021002","NY","360010021002","=""360010021002""","13.58","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010021003","NY","360010021003","=""360010021003""","27.45","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010022001","NY","360010022001","=""360010022001""","7.27","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010022002","NY","360010022002","=""360010022002""","23.01","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010023001","NY","360010023001","=""360010023001""","19.34","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010023002","NY","360010023002","=""360010023002""","27.16","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025001","NY","360010025001","=""360010025001""","22.40","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025002","NY","360010025002","=""360010025002""","22.57","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025003","NY","360010025003","=""360010025003""","22.08","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025004","NY","360010025004","=""360010025004""","14.80","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010025005","NY","360010025005","=""360010025005""","25.64","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010026001","NY","360010026001","=""360010026001""","16.61","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010026002","NY","360010026002","=""360010026002""","16.47","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010026003","NY","360010026003","=""360010026003""","14.27","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010026004","NY","360010026004","=""360010026004""","7.09","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010127001","NY","360010127001","=""360010127001""","20.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010127002","NY","360010127002","=""360010127002""","21.21","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010127003","NY","360010127003","=""360010127003""","10.85","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010128001","NY","360010128001","=""360010128001""","9.87","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010128002","NY","360010128002","=""360010128002""","25.21","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010128003","NY","360010128003","=""360010128003""","19.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010128004","NY","360010128004","=""360010128004""","24.94","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010129001","NY","360010129001","=""360010129001""","13.21","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010129002","NY","360010129002","=""360010129002""","14.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010129003","NY","360010129003","=""360010129003""","23.37","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010129004","NY","360010129004","=""360010129004""","36.43","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130001","NY","360010130001","=""360010130001""","23.65","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130002","NY","360010130002","=""360010130002""","13.60","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130003","NY","360010130003","=""360010130003""","25.54","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130004","NY","360010130004","=""360010130004""","10.57","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010130005","NY","360010130005","=""360010130005""","18.70","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010131001","NY","360010131001","=""360010131001""","9.41","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010131002","NY","360010131002","=""360010131002""","29.94","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010131003","NY","360010131003","=""360010131003""","16.86","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132001","NY","360010132001","=""360010132001""","19.72","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132002","NY","360010132002","=""360010132002""","19.27","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132003","NY","360010132003","=""360010132003""","29.20","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132004","NY","360010132004","=""360010132004""","22.15","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010132005","NY","360010132005","=""360010132005""","20.18","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010133001","NY","360010133001","=""360010133001""","14.11","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010133002","NY","360010133002","=""360010133002""","7.29","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010133003","NY","360010133003","=""360010133003""","12.44","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010133004","NY","360010133004","=""360010133004""","24.25","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010134001","NY","360010134001","=""360010134001""","32.84","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010134002","NY","360010134002","=""360010134002""","27.90","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010134003","NY","360010134003","=""360010134003""","18.13","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135031","NY","360010135031","=""360010135031""","8.42","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135032","NY","360010135032","=""360010135032""","4.15","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135033","NY","360010135033","=""360010135033""","4.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135051","NY","360010135051","=""360010135051""","15.79","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135052","NY","360010135052","=""360010135052""","10.62","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135061","NY","360010135061","=""360010135061""","7.27","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135062","NY","360010135062","=""360010135062""","14.20","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135063","NY","360010135063","=""360010135063""","14.73","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135071","NY","360010135071","=""360010135071""","12.94","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135072","NY","360010135072","=""360010135072""","2.92","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135081","NY","360010135081","=""360010135081""","7.56","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135082","NY","360010135082","=""360010135082""","14.79","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010135083","NY","360010135083","=""360010135083""","5.44","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136011","NY","360010136011","=""360010136011""","9.87","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136012","NY","360010136012","=""360010136012""","7.05","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136013","NY","360010136013","=""360010136013""","12.48","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136014","NY","360010136014","=""360010136014""","7.73","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136015","NY","360010136015","=""360010136015""","6.49","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136021","NY","360010136021","=""360010136021""","6.18","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136022","NY","360010136022","=""360010136022""","7.90","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010136023","NY","360010136023","=""360010136023""","12.00","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137031","NY","360010137031","=""360010137031""","4.65","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137051","NY","360010137051","=""360010137051""","13.92","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137052","NY","360010137052","=""360010137052""","12.34","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137053","NY","360010137053","=""360010137053""","8.34","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137054","NY","360010137054","=""360010137054""","10.03","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137061","NY","360010137061","=""360010137061""","11.74","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137071","NY","360010137071","=""360010137071""","6.80","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137072","NY","360010137072","=""360010137072""","13.12","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010137073","NY","360010137073","=""360010137073""","13.72","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138011","NY","360010138011","=""360010138011""","8.75","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138012","NY","360010138012","=""360010138012""","9.34","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138013","NY","360010138013","=""360010138013""","8.42","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138014","NY","360010138014","=""360010138014""","14.69","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138015","NY","360010138015","=""360010138015""","7.06","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138016","NY","360010138016","=""360010138016""","9.52","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138017","NY","360010138017","=""360010138017""","2.68","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138021","NY","360010138021","=""360010138021""","10.99","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138022","NY","360010138022","=""360010138022""","9.86","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010138023","NY","360010138023","=""360010138023""","7.52","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010139011","NY","360010139011","=""360010139011""","13.56","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010139012","NY","360010139012","=""360010139012""","9.27","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010139021","NY","360010139021","=""360010139021""","14.91","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010139022","NY","360010139022","=""360010139022""","16.09","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010139023","NY","360010139023","=""360010139023""","10.45","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010140011","NY","360010140011","=""360010140011""","18.14","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010140012","NY","360010140012","=""360010140012""","10.51","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010140013","NY","360010140013","=""360010140013""","15.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010140021","NY","360010140021","=""360010140021""","22.22","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010140022","NY","360010140022","=""360010140022""","20.08","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010140023","NY","360010140023","=""360010140023""","13.20","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010140024","NY","360010140024","=""360010140024""","19.09","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010141001","NY","360010141001","=""360010141001""","9.91","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010141002","NY","360010141002","=""360010141002""","8.14","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010141003","NY","360010141003","=""360010141003""","5.21","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010141004","NY","360010141004","=""360010141004""","4.05","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142011","NY","360010142011","=""360010142011""","17.18","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142012","NY","360010142012","=""360010142012""","15.10","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142013","NY","360010142013","=""360010142013""","5.89","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142014","NY","360010142014","=""360010142014""","3.76","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142021","NY","360010142021","=""360010142021""","12.38","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142022","NY","360010142022","=""360010142022""","20.37","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142023","NY","360010142023","=""360010142023""","10.78","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142024","NY","360010142024","=""360010142024""","5.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142031","NY","360010142031","=""360010142031""","15.05","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142032","NY","360010142032","=""360010142032""","16.38","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142033","NY","360010142033","=""360010142033""","19.93","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142034","NY","360010142034","=""360010142034""","16.31","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010142035","NY","360010142035","=""360010142035""","4.66","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010143011","NY","360010143011","=""360010143011""","2.43","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010143012","NY","360010143012","=""360010143012""","2.53","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010143021","NY","360010143021","=""360010143021""","7.13","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010143022","NY","360010143022","=""360010143022""","2.29","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010143023","NY","360010143023","=""360010143023""","9.10","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010143024","NY","360010143024","=""360010143024""","1.80","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010144011","NY","360010144011","=""360010144011""","1.54","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010144012","NY","360010144012","=""360010144012""","1.15","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010144013","NY","360010144013","=""360010144013""","0.89","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010144021","NY","360010144021","=""360010144021""","9.41","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010144022","NY","360010144022","=""360010144022""","15.37","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010145011","NY","360010145011","=""360010145011""","1.44","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010145012","NY","360010145012","=""360010145012""","1.10","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010145021","NY","360010145021","=""360010145021""","0.99","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010145022","NY","360010145022","=""360010145022""","1.09","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010145023","NY","360010145023","=""360010145023""","1.78","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010145031","NY","360010145031","=""360010145031""","6.79","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010145032","NY","360010145032","=""360010145032""","11.46","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146061","NY","360010146061","=""360010146061""","6.75","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146062","NY","360010146062","=""360010146062""","11.61","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146063","NY","360010146063","=""360010146063""","2.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146071","NY","360010146071","=""360010146071""","3.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146072","NY","360010146072","=""360010146072""","6.38","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146073","NY","360010146073","=""360010146073""","10.74","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146074","NY","360010146074","=""360010146074""","9.41","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146075","NY","360010146075","=""360010146075""","3.77","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146081","NY","360010146081","=""360010146081""","17.60","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146082","NY","360010146082","=""360010146082""","13.20","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146091","NY","360010146091","=""360010146091""","8.13","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146092","NY","360010146092","=""360010146092""","11.95","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146093","NY","360010146093","=""360010146093""","5.61","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146111","NY","360010146111","=""360010146111""","3.11","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146112","NY","360010146112","=""360010146112""","3.41","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146121","NY","360010146121","=""360010146121""","7.53","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146131","NY","360010146131","=""360010146131""","1.15","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146132","NY","360010146132","=""360010146132""","2.58","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146133","NY","360010146133","=""360010146133""","1.43","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146141","NY","360010146141","=""360010146141""","8.97","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146142","NY","360010146142","=""360010146142""","20.65","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146143","NY","360010146143","=""360010146143""","15.25","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146144","NY","360010146144","=""360010146144""","7.52","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010146151","NY","360010146151","=""360010146151""","4.65","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010147001","NY","360010147001","=""360010147001""","0.82","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010147002","NY","360010147002","=""360010147002""","1.12","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010148011","NY","360010148011","=""360010148011""","1.32","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010148012","NY","360010148012","=""360010148012""","1.06","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010148021","NY","360010148021","=""360010148021""","1.80","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010148022","NY","360010148022","=""360010148022""","1.45","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010148023","NY","360010148023","=""360010148023""","1.35","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010148031","NY","360010148031","=""360010148031""","0.95","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010148032","NY","360010148032","=""360010148032""","0.83","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039402001","NY","360039402001","=""360039402001""","0.62","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039501001","NY","360039501001","=""360039501001""","1.88","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039501002","NY","360039501002","=""360039501002""","1.38","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039501003","NY","360039501003","=""360039501003""","1.79","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039503001","NY","360039503001","=""360039503001""","1.79","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039503002","NY","360039503002","=""360039503002""","1.55","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039503003","NY","360039503003","=""360039503003""","2.02","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039504001","NY","360039504001","=""360039504001""","1.89","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039504002","NY","360039504002","=""360039504002""","2.32","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039504003","NY","360039504003","=""360039504003""","2.05","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039505001","NY","360039505001","=""360039505001""","2.78","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039505002","NY","360039505002","=""360039505002""","13.09","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039505003","NY","360039505003","=""360039505003""","1.92","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039505004","NY","360039505004","=""360039505004""","2.54","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360039506001","NY","360039506001","=""360039506001""","1.89","2021","2010","EPA Smart Location Database","New York (State)"
