"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Vehicles per Household","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"Block Group","040019450022","AZ","040019450022","=""040019450022""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019450023","AZ","040019450023","=""040019450023""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019451001","AZ","040019451001","=""040019451001""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019451002","AZ","040019451002","=""040019451002""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019702011","AZ","040019702011","=""040019702011""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019702012","AZ","040019702012","=""040019702012""","3.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019702021","AZ","040019702021","=""040019702021""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019702022","AZ","040019702022","=""040019702022""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019702023","AZ","040019702023","=""040019702023""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019703001","AZ","040019703001","=""040019703001""","3.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019703002","AZ","040019703002","=""040019703002""","2.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019703003","AZ","040019703003","=""040019703003""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019705011","AZ","040019705011","=""040019705011""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019705012","AZ","040019705012","=""040019705012""","3.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019705013","AZ","040019705013","=""040019705013""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019705014","AZ","040019705014","=""040019705014""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019705021","AZ","040019705021","=""040019705021""","2.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019705022","AZ","040019705022","=""040019705022""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040019705023","AZ","040019705023","=""040019705023""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030001011","AZ","040030001011","=""040030001011""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030001021","AZ","040030001021","=""040030001021""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","2.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","2.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","2.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002024","AZ","040030002024","=""040030002024""","2.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002031","AZ","040030002031","=""040030002031""","2.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002032","AZ","040030002032","=""040030002032""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030002033","AZ","040030002033","=""040030002033""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003011","AZ","040030003011","=""040030003011""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003012","AZ","040030003012","=""040030003012""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003013","AZ","040030003013","=""040030003013""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003014","AZ","040030003014","=""040030003014""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003031","AZ","040030003031","=""040030003031""","2.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003032","AZ","040030003032","=""040030003032""","2.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003033","AZ","040030003033","=""040030003033""","2.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003041","AZ","040030003041","=""040030003041""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003042","AZ","040030003042","=""040030003042""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003051","AZ","040030003051","=""040030003051""","3.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003052","AZ","040030003052","=""040030003052""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030003053","AZ","040030003053","=""040030003053""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030004001","AZ","040030004001","=""040030004001""","2.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030004002","AZ","040030004002","=""040030004002""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030005011","AZ","040030005011","=""040030005011""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030005012","AZ","040030005012","=""040030005012""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030005021","AZ","040030005021","=""040030005021""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030005031","AZ","040030005031","=""040030005031""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030006001","AZ","040030006001","=""040030006001""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030006002","AZ","040030006002","=""040030006002""","2.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030007001","AZ","040030007001","=""040030007001""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030007002","AZ","040030007002","=""040030007002""","2.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030007003","AZ","040030007003","=""040030007003""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030007004","AZ","040030007004","=""040030007004""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030008001","AZ","040030008001","=""040030008001""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030008002","AZ","040030008002","=""040030008002""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030008003","AZ","040030008003","=""040030008003""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030008004","AZ","040030008004","=""040030008004""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009011","AZ","040030009011","=""040030009011""","1.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009012","AZ","040030009012","=""040030009012""","2.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009013","AZ","040030009013","=""040030009013""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009014","AZ","040030009014","=""040030009014""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009021","AZ","040030009021","=""040030009021""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009022","AZ","040030009022","=""040030009022""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030009023","AZ","040030009023","=""040030009023""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030010001","AZ","040030010001","=""040030010001""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030010002","AZ","040030010002","=""040030010002""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030011001","AZ","040030011001","=""040030011001""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030011002","AZ","040030011002","=""040030011002""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030011003","AZ","040030011003","=""040030011003""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030012001","AZ","040030012001","=""040030012001""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030012002","AZ","040030012002","=""040030012002""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030012003","AZ","040030012003","=""040030012003""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013011","AZ","040030013011","=""040030013011""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013012","AZ","040030013012","=""040030013012""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013021","AZ","040030013021","=""040030013021""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013022","AZ","040030013022","=""040030013022""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030013023","AZ","040030013023","=""040030013023""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030014011","AZ","040030014011","=""040030014011""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030014012","AZ","040030014012","=""040030014012""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030014013","AZ","040030014013","=""040030014013""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030014021","AZ","040030014021","=""040030014021""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015011","AZ","040030015011","=""040030015011""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015012","AZ","040030015012","=""040030015012""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015013","AZ","040030015013","=""040030015013""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015021","AZ","040030015021","=""040030015021""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015022","AZ","040030015022","=""040030015022""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030015023","AZ","040030015023","=""040030015023""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016011","AZ","040030016011","=""040030016011""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016012","AZ","040030016012","=""040030016012""","1.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016013","AZ","040030016013","=""040030016013""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016021","AZ","040030016021","=""040030016021""","2.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030016022","AZ","040030016022","=""040030016022""","1.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017011","AZ","040030017011","=""040030017011""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017012","AZ","040030017012","=""040030017012""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017013","AZ","040030017013","=""040030017013""","2.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017014","AZ","040030017014","=""040030017014""","1.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017021","AZ","040030017021","=""040030017021""","1.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017022","AZ","040030017022","=""040030017022""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017023","AZ","040030017023","=""040030017023""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017031","AZ","040030017031","=""040030017031""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017032","AZ","040030017032","=""040030017032""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030017033","AZ","040030017033","=""040030017033""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018011","AZ","040030018011","=""040030018011""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018012","AZ","040030018012","=""040030018012""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018013","AZ","040030018013","=""040030018013""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018014","AZ","040030018014","=""040030018014""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018021","AZ","040030018021","=""040030018021""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030018022","AZ","040030018022","=""040030018022""","2.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030019001","AZ","040030019001","=""040030019001""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030019002","AZ","040030019002","=""040030019002""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030019003","AZ","040030019003","=""040030019003""","2.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030019004","AZ","040030019004","=""040030019004""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020011","AZ","040030020011","=""040030020011""","1.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020012","AZ","040030020012","=""040030020012""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020013","AZ","040030020013","=""040030020013""","2.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020014","AZ","040030020014","=""040030020014""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020021","AZ","040030020021","=""040030020021""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020022","AZ","040030020022","=""040030020022""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030020023","AZ","040030020023","=""040030020023""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030021001","AZ","040030021001","=""040030021001""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030021002","AZ","040030021002","=""040030021002""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030021003","AZ","040030021003","=""040030021003""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040030021004","AZ","040030021004","=""040030021004""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050001001","AZ","040050001001","=""040050001001""","2.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050001002","AZ","040050001002","=""040050001002""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050002001","AZ","040050002001","=""040050002001""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050002002","AZ","040050002002","=""040050002002""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003011","AZ","040050003011","=""040050003011""","2.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003012","AZ","040050003012","=""040050003012""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003013","AZ","040050003013","=""040050003013""","1.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003021","AZ","040050003021","=""040050003021""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050003022","AZ","040050003022","=""040050003022""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004001","AZ","040050004001","=""040050004001""","2.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004002","AZ","040050004002","=""040050004002""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004003","AZ","040050004003","=""040050004003""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004004","AZ","040050004004","=""040050004004""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050004005","AZ","040050004005","=""040050004005""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005001","AZ","040050005001","=""040050005001""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005002","AZ","040050005002","=""040050005002""","2.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005003","AZ","040050005003","=""040050005003""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005004","AZ","040050005004","=""040050005004""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050005005","AZ","040050005005","=""040050005005""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050006011","AZ","040050006011","=""040050006011""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050006012","AZ","040050006012","=""040050006012""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050006021","AZ","040050006021","=""040050006021""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050006022","AZ","040050006022","=""040050006022""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050007001","AZ","040050007001","=""040050007001""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050007002","AZ","040050007002","=""040050007002""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050007003","AZ","040050007003","=""040050007003""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008001","AZ","040050008001","=""040050008001""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008002","AZ","040050008002","=""040050008002""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008003","AZ","040050008003","=""040050008003""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008004","AZ","040050008004","=""040050008004""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050008005","AZ","040050008005","=""040050008005""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009011","AZ","040050009011","=""040050009011""","2.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009012","AZ","040050009012","=""040050009012""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009021","AZ","040050009021","=""040050009021""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009022","AZ","040050009022","=""040050009022""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050009023","AZ","040050009023","=""040050009023""","1.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050010001","AZ","040050010001","=""040050010001""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050010002","AZ","040050010002","=""040050010002""","1.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050010003","AZ","040050010003","=""040050010003""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011011","AZ","040050011011","=""040050011011""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011012","AZ","040050011012","=""040050011012""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011013","AZ","040050011013","=""040050011013""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011031","AZ","040050011031","=""040050011031""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011032","AZ","040050011032","=""040050011032""","2.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011033","AZ","040050011033","=""040050011033""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011041","AZ","040050011041","=""040050011041""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011042","AZ","040050011042","=""040050011042""","1.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011043","AZ","040050011043","=""040050011043""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050011044","AZ","040050011044","=""040050011044""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050012011","AZ","040050012011","=""040050012011""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050012012","AZ","040050012012","=""040050012012""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013011","AZ","040050013011","=""040050013011""","2.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013012","AZ","040050013012","=""040050013012""","2.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013013","AZ","040050013013","=""040050013013""","2.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013021","AZ","040050013021","=""040050013021""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013022","AZ","040050013022","=""040050013022""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050013023","AZ","040050013023","=""040050013023""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050015001","AZ","040050015001","=""040050015001""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050015002","AZ","040050015002","=""040050015002""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050015003","AZ","040050015003","=""040050015003""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050015004","AZ","040050015004","=""040050015004""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050016011","AZ","040050016011","=""040050016011""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050016012","AZ","040050016012","=""040050016012""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050016021","AZ","040050016021","=""040050016021""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050016022","AZ","040050016022","=""040050016022""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050017001","AZ","040050017001","=""040050017001""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050017002","AZ","040050017002","=""040050017002""","1.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050017003","AZ","040050017003","=""040050017003""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050017004","AZ","040050017004","=""040050017004""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050020001","AZ","040050020001","=""040050020001""","2.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050020002","AZ","040050020002","=""040050020002""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021011","AZ","040050021011","=""040050021011""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021012","AZ","040050021012","=""040050021012""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021013","AZ","040050021013","=""040050021013""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021014","AZ","040050021014","=""040050021014""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021021","AZ","040050021021","=""040050021021""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021022","AZ","040050021022","=""040050021022""","1.8","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050021023","AZ","040050021023","=""040050021023""","2.3","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022011","AZ","040050022011","=""040050022011""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022012","AZ","040050022012","=""040050022012""","2.1","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022013","AZ","040050022013","=""040050022013""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022014","AZ","040050022014","=""040050022014""","2.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022021","AZ","040050022021","=""040050022021""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022022","AZ","040050022022","=""040050022022""","1.9","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022023","AZ","040050022023","=""040050022023""","2.0","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050022024","AZ","040050022024","=""040050022024""","2.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023011","AZ","040050023011","=""040050023011""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023012","AZ","040050023012","=""040050023012""","N/A","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023013","AZ","040050023013","=""040050023013""","2.6","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023021","AZ","040050023021","=""040050023021""","3.2","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023022","AZ","040050023022","=""040050023022""","2.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040050023023","AZ","040050023023","=""040050023023""","2.5","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422011","AZ","040059422011","=""040059422011""","2.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422012","AZ","040059422012","=""040059422012""","2.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422013","AZ","040059422013","=""040059422013""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422021","AZ","040059422021","=""040059422021""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422022","AZ","040059422022","=""040059422022""","1.7","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059422023","AZ","040059422023","=""040059422023""","1.4","2019-2023","2021","Census","Arizona (State)"
"Block Group","040059449001","AZ","040059449001","=""040059449001""","2.0","2019-2023","2021","Census","Arizona (State)"
